     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3928500 2446500  1  5 12   5.8  978 223  3.6 6  3.8  68   26  121 288 -336  2
3928500 2446500  1  5 13   6.4  977 225  3.7 7  4.0  67   12  117 299 -338  2
3928500 2446500  1  5 14   6.9  978 226  4.4 6  4.2  66    6   95 302 -339  2
3928500 2446500  1  5 15   7.1  977 219  4.2 6  4.2  66    1   67 298 -340  2
3928500 2446500  1  5 16   7.1  976 234  4.2 6  4.3  66    4   42 299 -342  2
3928500 2446500  1  5 17   7.0  976 219  3.7 7  4.4  68    0    9 307 -343  2
3928500 2446500  1  5 18   6.5  976 214  2.8 7  4.6  72    0    0 313 -343  2
3928500 2446500  1  5 19   6.4  975 212  3.3 8  4.8  76    0    0 319 -344  2
3928500 2446500  1  5 20   6.6  975 214  4.2 8  5.0  80    0    0 327 -345  2
3928500 2446500  1  5 21   7.0  975 212  4.1 8  5.2  81    0    0 328 -346  2
3928500 2446500  1  5 22   7.3  974 208  3.9 8  5.2  80    0    0 329 -347  2
3928500 2446500  1  5 23   7.2  974 205  3.4 8  5.3  80    0    0 330 -347  2
3928500 2446500  1  5 24   7.2  973 215  4.2 8  5.5  83    0    0 330 -348  2
3928500 2446500  1  6  1   6.7  973 235  4.1 8  5.6  86    0    0 330 -348  2
3928500 2446500  1  6  2   7.2  972 240  4.2 7  5.7  87    0    0 323 -348  2
3928500 2446500  1  6  3   7.5  971 254  5.8 7  5.8  87    0    0 318 -348  2
3928500 2446500  1  6  4   6.7  971 268  5.8 7  5.9  90    0    0 321 -347  2
3928500 2446500  1  6  5   6.7  972 270  7.3 6  5.8  91    0    0 313 -347  2
3928500 2446500  1  6  6   7.1  973 274  5.2 7  5.5  86    0    0 314 -346  2
3928500 2446500  1  6  7   6.8  974 272  6.0 7  5.4  83    0    0 320 -347  2
3928500 2446500  1  6  8   6.3  975 274  4.8 7  5.3  84    0    0 319 -347  2
3928500 2446500  1  6  9   6.2  976 278  4.0 8  5.4  88    0    3 322 -347  2
3928500 2446500  1  6 10   6.3  978 270  3.6 7  5.4  88    4   47 320 -347  2
3928500 2446500  1  6 11   6.6  979 275  4.2 5  5.3  86   23   85 302 -348  2
3928500 2446500  1  6 12   6.7  980 287  4.8 7  5.3  84    0   66 301 -349  2
3928500 2446500  1  6 13   6.6  980 274  5.3 6  5.3  84   13  111 304 -349  2
3928500 2446500  1  6 14   7.7  981 272  4.5 5  5.1  79   78  100 292 -351  2
3928500 2446500  1  6 15   7.2  981 281  5.2 5  4.8  72   31   83 287 -351  2
3928500 2446500  1  6 16   7.1  982 265  2.9 7  4.6  72   23   44 296 -348  2
3928500 2446500  1  6 17   5.7  981 250  1.5 7  4.6  75    4   10 305 -345  2
3928500 2446500  1  6 18   5.9  982 222  1.4 6  4.6  78    0    0 297 -342  2
3928500 2446500  1  6 19   4.2  982 230  1.4 4  4.5  81    0    0 280 -341  2
3928500 2446500  1  6 20   4.3  983 223  2.6 4  4.5  85    0    0 268 -341  2
3928500 2446500  1  6 21   3.7  983 224  1.7 4  4.4  85    0    0 268 -340  2
3928500 2446500  1  6 22   2.9  983 225  2.4 2  4.4  88    0    0 255 -339  2
3928500 2446500  1  6 23   4.2  983 225  2.0 2  4.5  89    0    0 246 -339  2
3928500 2446500  1  6 24   3.6  983 203  2.1 1  4.5  88    0    0 242 -340  2
3928500 2446500  1  7  1   3.1  982 193  2.5 3  4.5  90    0    0 245 -342  2
3928500 2446500  1  7  2   2.3  982 212  2.5 2  4.2  88    0    0 250 -344  2
3928500 2446500  1  7  3   4.6  982 203  3.2 4  4.2  84    0    0 258 -345  2
3928500 2446500  1  7  4   4.4  982 215  1.8 6  4.5  84    0    0 282 -346  2
3928500 2446500  1  7  5   4.0  981 222  2.2 6  4.5  85    0    0 293 -346  2
3928500 2446500  1  7  6   4.1  981 227  2.2 5  4.5  86    0    0 288 -344  2
3928500 2446500  1  7  7   5.8  981 220  3.5 7  4.6  83    0    0 296 -342  2
3928500 2446500  1  7  8   6.2  981 215  2.8 7  4.8  80    0    0 309 -339  2
3928500 2446500  1  7  9   6.3  981 194  3.1 7  4.8  79    0    4 310 -337  2
3928500 2446500  1  7 10   5.7  981 208  3.2 7  4.9  81    0   33 308 -338  2
3928500 2446500  1  7 11   6.9  981 202  3.9 4  5.0  82  104   85 294 -341  2
3928500 2446500  1  7 12   7.9  982 216  5.0 3  5.1  77  225   68 277 -346  2
3928500 2446500  1  7 13   8.8  981 230  4.1 4  5.1  72  222   80 279 -351  2
3928500 2446500  1  7 14   9.8  980 223  4.2 5  5.2  69   60  117 290 -354  2
3928500 2446500  1  7 15   9.8  979 215  4.0 4  5.2  67  111   78 292 -355  2
3928500 2446500  1  7 16   9.1  979 231  3.3 5  5.2  68   72   43 289 -352  2
3928500 2446500  1  7 17   7.6  980 231  2.2 6  5.1  72    9   12 296 -346  2
